regression,score,random_state,embedding,sample_size,pearson_train,pearson_test,spearman_train,spearman_test,RMSE_train,RMSE_test,SDR_train,SDR_test
ridge,solubility_score,0,antiberty,20,0.927452,0.146301,0.82406,0.150679,0.135289,0.333012,0.522377,0.319023
ridge,zsurf_score,0,antiberty,20,0.999461,0.288667,0.989474,0.336268,0.00464829,0.125911,0.972069,0.701658
ridge,solubility_score,0,antiberty,50,0.801741,0.43287,0.787563,0.447664,0.232771,0.30473,0.274949,0.190997
ridge,zsurf_score,0,antiberty,50,0.870023,0.358366,0.884946,0.425036,0.0700819,0.109798,0.504451,0.41026
ridge,solubility_score,0,antiberty,100,0.909945,0.610851,0.890249,0.590468,0.141009,0.26386,0.695904,0.528791
ridge,zsurf_score,0,antiberty,100,0.850186,0.43898,0.848629,0.475468,0.0612825,0.106352,0.603657,0.461216
ridge,solubility_score,0,antiberty,200,0.923126,0.659768,0.915048,0.638166,0.120929,0.244941,0.8018,0.663708
ridge,zsurf_score,0,antiberty,200,0.821664,0.502907,0.835069,0.537043,0.067769,0.101598,0.607323,0.527823
ridge,solubility_score,0,antiberty,500,0.86623,0.765171,0.867132,0.754782,0.151144,0.211976,0.76158,0.679588
ridge,zsurf_score,0,antiberty,500,0.826208,0.599717,0.839833,0.614121,0.0664898,0.0941324,0.693867,0.647354
ridge,solubility_score,0,antiberty,638,0.859433,0.761566,0.851832,0.751957,0.156606,0.211791,0.771042,0.70836
ridge,zsurf_score,0,antiberty,638,0.784048,0.608749,0.788784,0.633181,0.0730041,0.0932206,0.636711,0.587755
ridge,solubility_score,0,antiberty,650,0.862513,0.764933,0.854742,0.757071,0.155973,0.210309,0.773516,0.718223
ridge,zsurf_score,0,antiberty,650,0.804796,0.614166,0.805144,0.632403,0.0688442,0.0927769,0.693976,0.643123
ridge,solubility_score,0,antiberty,800,0.859896,0.781757,0.854902,0.776595,0.158546,0.2038,0.776878,0.731207
ridge,zsurf_score,0,antiberty,800,0.77865,0.625953,0.776715,0.649676,0.0746634,0.0916259,0.640529,0.615498
ridge,solubility_score,0,antiberty,1000,0.871071,0.792608,0.867064,0.783345,0.153703,0.19874,0.817365,0.790918
ridge,zsurf_score,0,antiberty,1000,0.767305,0.63609,0.77057,0.662141,0.0746003,0.0906925,0.646767,0.608039
ridge,solubility_score,0,antiberty,1500,0.856843,0.80632,0.851528,0.79809,0.159717,0.193521,0.795455,0.760291
